owner,title,status,priority,ref_app_count,ref_public_app_count,ref_public_maptour_count,public_total_refs,risk_score,recommended_action,url
skitterman,Hawaii,LEGACY,HIGH,2,2,1,3,126,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=75ed42f9a5ed4f2399ba753cd8deae6d
skitterman,New York trip,LEGACY,HIGH,3,1,1,2,124,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=74e6b4c08b064a07a55997544339020e
StoryMaps,Cathedral test,LEGACY,HIGH,2,1,1,2,122,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=6149418a867b4d548ada9612df6eb33e
dasbury_storymaps,Planet Hunter,LEGACY,HIGH,2,1,1,2,122,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=817b3e36f52a4d67920c9aaab8cec1bb
StoryMaps,Renewable electricity in depth,LEGACY,HIGH,2,2,0,2,122,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=25bc81de94f14b58878a0b67d8ddd5eb
StoryMaps,Washington DC Today and 1851,LEGACY,HIGH,2,2,0,2,122,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=7076dcc3049c44c68ef7afc36b754e87
StoryMaps,DroughtSummer 2014,LEGACY,HIGH,4,1,0,1,122,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=25c1bdfdc7cc4d9e88d5cf849c0e93e2
StoryMaps,2015 CGAP Photo Contest,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a2f1d0a82b8b4dd886859f416bb331c7
StoryMaps,A Daytona Beach Walk,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=910b817c327d448c8e2880f6c2fed348
StoryMaps,Cornwall Hike 4,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3277e996026e41bda06a06e518342056
StoryMaps,"Critical Area Trail, Patuxent River, Maryland",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=329e1fea9fd14195bc071e3bd21122f9
StoryMaps,Auto-play Map Series within Map Tour Experi,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=de9853d6502e4086b0e8513aac570b36
StoryMaps,Ayers to Esri,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=4362cd86bc38426097198ac3f2d2fa08
Rupert_Essinger,Bad example of a Story Map Tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f473690427814f5587fe3db979b6a85b
glazou2,Ban Fracking,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f576fd3e4d914a5d9bff8c972fc6218f
StoryMaps,Beautiful Bees,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=41be60d3ac454beaa90008cb90c398a2
StoryMaps,Bicycle outing in the Virginia Piedmont,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=9e78b4b0e9e34264964182fbe6fe8e59
StoryMaps,Biking to a Meeting,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=90649a4350be4f829210d9e9335d185f
StoryMaps,Birding Outing to Roosevelt Island,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=4f20e263917e4231bf58003ec4c36a1d
dwright_storymaps,Blue Ribbon Panel Web Map,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=77bb35c3dde3440083e6b78640f301f0
dwright_storymaps,AGU Social Media Poster Web Map,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=6b1e4f428ffa411b96b0e49d214ed17f
dwright_storymaps,AGU_Data_Science_Web_Map,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=c9cc33784c0f4746a68c34639ad40d46
StoryMaps,Arts and Industries Building,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=515b8a3402224eaeb843c6952c71aff6
StoryMaps,Ecosystems Tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=2ad29b969ab04148a53a67a91b3c15ad
